song,artist,genre,year,lyric_corpus
사월의 눈,허각,발라드,2015,눈부신 따스한 봄날엔 그토록 욕해대고 할퀴어대던 두 사람이나였는지 그녀였는지조차 잊어버린 듯 그 겨울 그 겨울이 그때 우리가 참 그리워 미운데 미운데 그리워 큰 맘 먹고 살짝 열어본 내창가에 눈부신 봄날 햇살 아래로 차디찬 눈이 내려 요 작은 내 방에 내 텅 빈 가슴에 그 아팠던 상처가 또다시 덧나려는 듯 이른 봄날에 눈이 내려 요주르륵 흘러내린 내 눈물마저도 차네요
사월의 눈,허각,발라드,2015,내게도 봄 날이 올까 요누군 갈 또다시 사랑하고 싶어서 미친 듯 거리를 걸어봐도 차디찬 눈이 내려요
사월의 눈,허각,발라드,2015,내 두 눈가에이 못난 가슴에 그 아팠던 상처가 또다시 덧나려는 듯 이른 봄날에 눈이 내려 요하얗게 추억들이 내려 요주르륵 흘러내린 내 눈물마저 차가운데 내게도 봄날이 올까요
사월의 눈,허각,발라드,2015,따스한 봄날이 올까요
야생화,박효신,발라드,2015,하얗게 피어난 얼음꽃 하나가 달가운 바람에 얼굴을 내밀어 아무 말 못했던 이름도 몰랐던 지나간 날들에 눈물이 흘러 차가운 바람에 숨어 있다 한줄기 햇살에 몸녹이 다 그렇게 너는 또 한 번 내게 온다 좋았던 기억만 그리운 마음만니가 떠나간 그 길 위에 이렇게 남아서 있다 잊혀질 만큼만 괜찮을 만큼만 눈물 머금고 기다린 떨림 끝에 다시 나를 피우리라 사랑은 피고 또 지는 타버리는 불꽃 빗물에 젖을까 두 눈을 감는 다 어리고 작았던 나의 맘에 눈부시게 빛나던 추억 속에 그렇게 너를 또 한 번 불러본 다 좋았던 기억만 그리운 마음만 니가 떠나간 그 길 위에 이렇게 남아서 있다 잊혀질 만큼만 괜찮을 만큼만 눈물 머금고 기다린 떨림 끝에 다시 나는 메말라가는 땅 위에 온몸이 타들어가고 내 손끝에 남은 너의 향기 흩어져 날아가 멀어져 가는 너의 손을 붙잡지 못해 아프다 살아갈 만큼만 미워했던 만큼만 먼 훗날 너를 데려다 줄 그 봄이 오면 그날에 나피우리라
금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,발라드,2015,월요일엔 아마 바쁘지 않을까 화요일도 성급해 보이지 안 그래 수요일은 뭔가 어정쩡한 느낌 목요일은 그냥 내가 왠지 싫어 우 이번 주 금요일 우금요일에 시간어때 요주말까지 기다리긴 힘들어 시간 아달려라 시계를 더 보채고 싶지만 일분일초가 달콤해 이 남자도 대체 뭐야사랑에 빠지지 않곤 못 배기겠어온종일 내 맘은 저기 시계 바늘 위에 올라타 한 칸씩 그대에게 더 가까이 우 이번 주 금요일 우금요일에 시간어때 요
금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,발라드,2015,딱히 보고 싶은 영화는 없지만 딱히 먹고 싶은 메뉴는 없지만 주말까지 기다리 긴 힘들어 시간 아달려라 시계를 더 보채고 싶지만 일분일초가 달콤해 이 남자도 대체 뭐야사랑에 빠지지 않곤 못 배기겠어온종일 내 맘은 저기 시계 바늘 위에 올라타 한 칸씩 그대에게 더 가까이나 뭔가에 홀린 것 같아 이 여잔도 대체 뭐야 사랑해주지 않고는 못 배기겠어 돌아오는 이번 주 금요일에 만나요
금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,발라드,2015,그날 내 맘을 더 가져가줘요
금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,발라드,2015,더 가까이 더 가까이와요
금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,발라드,2015,더 가까이
